prior(0,0919062832800852).
trusts(143,170).
trusts(582,1471).
trusts(612,365).
trusts(147,79).
trusts(1152,197).
trusts(147,81).
trusts(1150,272).
trusts(147,80).
trusts(147,82).
trusts(1560,274).
trusts(147,85).
trusts(147,84).
trusts(143,218).
trusts(579,1635).
trusts(102,1739).
trusts(186,751).
trusts(147,62).
trusts(143,210).
trusts(143,211).
trusts(139,359).
trusts(609,499).
trusts(197,318).
trusts(617,202).
trusts(98,1878).
trusts(1135,815).
trusts(198,287).
trusts(1135,819).
trusts(130,685).
trusts(615,284).
trusts(1115,1558).
trusts(143,205).
trusts(587,1323).
trusts(143,207).
trusts(143,209).
trusts(625,77).
trusts(143,626).
trusts(582,1658).
trusts(210,125).
trusts(213,40).
trusts(622,203).
trusts(1144,25).
trusts(119,1529).
trusts(1141,127).
trusts(152,309).
trusts(157,125).
trusts(1562,127).
trusts(197,650).
trusts(1137,302).
trusts(574,1992).
trusts(606,805).
trusts(615,468).
trusts(194,750).
trusts(587,1505).
trusts(150,412).
trusts(198,624).
trusts(153,310).
trusts(620,302).
trusts(210,175).
trusts(160,47).
trusts(196,689).
trusts(622,120).
trusts(196,716).
trusts(577,1791).
trusts(196,719).
trusts(1136,364).
trusts(210,211).
trusts(206,362).
trusts(143,575).
trusts(196,735).
trusts(143,577).
trusts(210,203).
trusts(153,212).
trusts(1102,1637).
trusts(1146,8).
trusts(209,246).
trusts(211,173).
trusts(207,321).
trusts(1144,101).
trusts(615,412).
trusts(210,230).
trusts(582,1634).
trusts(209,268).
trusts(617,328).
trusts(1144,98).
trusts(134,932).
trusts(216,2).
trusts(625,60).
trusts(575,1910).
trusts(210,238).
trusts(194,828).
trusts(155,172).
trusts(155,58).
trusts(1145,93).
trusts(615,568).
trusts(582,1789).
trusts(1146,54).
trusts(153,129).
trusts(143,494).
trusts(155,51).
trusts(611,719).
trusts(153,122).
trusts(152,160).
trusts(587,1614).
trusts(209,48).
trusts(206,172).
trusts(138,698).
trusts(150,253).
trusts(210,20).
trusts(612,698).
trusts(143,536).
trusts(1146,90).
trusts(207,143).
trusts(210,42).
trusts(622,345).
trusts(118,1450).
trusts(196,556).
trusts(615,614).
trusts(194,648).
trusts(1135,514).
trusts(210,54).
trusts(209,90).
trusts(147,391).
trusts(576,1941).
trusts(628,20).
trusts(150,177).
trusts(1131,677).
trusts(196,582).
trusts(208,139).
trusts(210,67).
trusts(615,506).
trusts(210,68).
trusts(210,69).
trusts(575,1988).
trusts(181,1145).
trusts(146,321).
trusts(1549,388).
trusts(139,600).
trusts(197,563).
trusts(625,155).
trusts(1146,143).
trusts(611,678).
trusts(109,1730).
trusts(210,97).
trusts(613,614).
trusts(209,137).
trusts(155,20).
trusts(209,143).
trusts(1123,1012).
trusts(1557,127).
trusts(152,144).
trusts(139,625).
trusts(206,266).
trusts(1138,468).
trusts(197,601).
trusts(109,80).
trusts(86,932).
trusts(109,83).
trusts(615,677).
trusts(86,930).
trusts(614,723).
trusts(75,1329).
trusts(1099,482).
trusts(165,100).
trusts(109,49).
trusts(631,51).
trusts(163,164).
trusts(630,78).
trusts(104,219).
trusts(109,33).
trusts(63,1734).
trusts(1100,410).
trusts(153,506).
trusts(630,72).
trusts(78,1172).
trusts(104,327).
trusts(109,144).
trusts(75,1402).
trusts(102,405).
trusts(78,1294).
trusts(591,1635).
trusts(1103,291).
trusts(109,135).
trusts(91,803).
trusts(601,1271).
trusts(109,125).
trusts(109,127).
trusts(150,585).
trusts(109,128).
trusts(89,868).
trusts(1092,677).
trusts(109,117).
trusts(624,399).
trusts(109,121).
trusts(107,194).
trusts(109,122).
trusts(110,71).
trusts(633,40).
trusts(150,568).
trusts(109,107).
trusts(150,579).
trusts(612,803).
trusts(75,1352).
trusts(1104,202).
trusts(107,172).
trusts(109,87).
trusts(109,86).
trusts(93,677).
trusts(109,84).
trusts(583,1889).
trusts(107,18).
trusts(1096,746).
trusts(1103,482).
trusts(1104,446).
trusts(104,127).
trusts(100,288).
trusts(96,405).
trusts(1097,686).
trusts(107,7).
trusts(160,152).
trusts(592,1635).
trusts(630,226).
trusts(138,957).
trusts(77,1092).
trusts(583,1960).
trusts(153,398).
trusts(104,102).
trusts(104,101).
trusts(104,83).
trusts(1097,649).
trusts(1096,686).
trusts(632,127).
trusts(109,9).
trusts(93,606).
trusts(109,18).
trusts(108,25).
trusts(108,28).
trusts(1102,446).
trusts(160,86).
trusts(109,1).
trusts(109,2).
trusts(594,1634).
trusts(138,905).
trusts(584,1992).
trusts(75,1237).
trusts(152,380).
trusts(103,181).
trusts(617,756).
trusts(624,486).
trusts(85,853).
trusts(153,316).
trusts(170,169).
trusts(639,29).
trusts(1574,127).
trusts(1553,918).
trusts(118,1).
trusts(640,7).
trusts(153,811).
trusts(170,180).
trusts(173,83).
trusts(117,29).
trusts(68,1842).
trusts(116,30).
trusts(630,334).
trusts(1573,127).
trusts(1090,525).
trusts(615,882).
trusts(109,284).
trusts(638,33).
trusts(109,280).
trusts(1538,1430).
trusts(172,86).
trusts(171,124).
trusts(116,40).
trusts(637,93).
trusts(630,425).
trusts(104,568).
trusts(1090,494).
trusts(169,143).
trusts(153,732).
trusts(630,434).
trusts(119,4).
trusts(150,852).
trusts(117,80).
trusts(109,398).
trusts(129,1634).
trusts(112,290).
trusts(150,864).
trusts(112,237).
trusts(155,625).
trusts(118,20).
trusts(169,109).
trusts(109,352).
trusts(170,71).
trusts(633,287).
trusts(1061,1542).
trusts(172,2).
trusts(168,150).
trusts(125,1743).
trusts(1575,127).
trusts(117,51).
trusts(109,365).
trusts(109,366).
trusts(75,1624).
trusts(636,190).
trusts(639,78).
trusts(156,606).
trusts(109,370).
trusts(1092,405).
trusts(1073,1108).
trusts(117,75).
trusts(169,128).
trusts(172,20).
trusts(1565,515).
trusts(171,59).
trusts(118,29).
trusts(98,594).
trusts(633,388).
trusts(63,1887).
trusts(1108,25).
trusts(75,1438).
trusts(109,194).
trusts(112,92).
trusts(643,36).
trusts(143,1065).
trusts(1571,127).
trusts(169,98).
trusts(1544,1128).
trusts(167,169).
trusts(107,284).
trusts(169,92).
trusts(112,96).
trusts(643,25).
trusts(630,506).
trusts(104,334).
trusts(169,49).
trusts(168,86).
trusts(109,150).
trusts(1568,190).
trusts(1550,852).
trusts(1103,172).
trusts(104,354).
trusts(98,575).
trusts(109,170).
trusts(1103,194).
trusts(98,574).
trusts(75,1435).
trusts(1570,127).
trusts(155,575).
trusts(98,582).
trusts(1096,410).
trusts(109,253).
trusts(1081,959).
trusts(96,744).
trusts(116,1).
trusts(162,291).
trusts(109,266).
trusts(72,1634).
trusts(169,29).
trusts(109,272).
trusts(112,101).
trusts(153,579).
trusts(1103,121).
trusts(104,405).
trusts(156,458).
trusts(643,40).
trusts(107,297).
trusts(638,227).
trusts(165,150).
trusts(110,196).
trusts(1572,127).
trusts(169,7).
trusts(1102,172).
trusts(112,126).
trusts(1085,789).
trusts(1103,127).
trusts(118,226).
trusts(169,441).
trusts(117,264).
trusts(1110,573).
trusts(1103,834).
trusts(123,33).
trusts(643,127).
trusts(594,1939).
trusts(1096,1098).
trusts(1096,1097).
trusts(1096,1099).
trusts(121,109).
trusts(1591,226).
trusts(72,1915).
trusts(180,21).
trusts(173,280).
trusts(118,202).
trusts(1590,274).
trusts(175,210).
trusts(172,321).
trusts(643,117).
trusts(180,31).
trusts(180,29).
trusts(177,177).
trusts(180,69).
trusts(120,186).
trusts(1103,863).
trusts(116,336).
trusts(117,284).
trusts(104,765).
trusts(172,370).
trusts(1126,20).
trusts(1096,1103).
trusts(118,240).
trusts(170,425).
trusts(633,514).
trusts(177,173).
trusts(1103,854).
trusts(100,958).
trusts(1111,468).
trusts(125,29).
trusts(172,280).
trusts(174,203).
trusts(125,21).
trusts(172,253).
trusts(122,122).
trusts(117,302).
trusts(173,221).
trusts(1099,905).
trusts(1096,1060).
trusts(634,554).
trusts(125,63).
trusts(107,723).
trusts(112,539).
trusts(125,59).
trusts(1597,127).
trusts(118,313).
trusts(171,344).
trusts(1124,25).
trusts(178,86).
trusts(118,310).
trusts(172,287).
trusts(169,398).
trusts(129,1878).
trusts(118,304).
trusts(1121,127).
trusts(100,962).
trusts(119,258).
trusts(1597,109).
trusts(117,127).
trusts(647,109).
trusts(170,284).
trusts(120,20).
trusts(169,326).
trusts(175,103).
trusts(173,177).
trusts(118,98).
trusts(174,127).
trusts(170,280).
trusts(1099,1097).
trusts(1099,1096).
trusts(117,109).
trusts(1099,1098).
trusts(175,86).
trusts(1099,1100).
trusts(175,77).
trusts(175,74).
trusts(118,86).
trusts(118,119).
trusts(114,272).
trusts(643,291).
trusts(650,20).
trusts(1118,431).
trusts(178,14).
trusts(83,1426).
trusts(172,240).
trusts(153,930).
trusts(643,272).
trusts(175,118).
trusts(134,1635).
trusts(112,331).
trusts(90,1146).
trusts(89,1186).
trusts(120,40).
trusts(109,447).
trusts(643,266).
trusts(172,222).
trusts(150,1036).
trusts(118,117).
trusts(177,38).
trusts(144,1259).
trusts(1564,1190).
trusts(1103,905).
trusts(122,7).
trusts(120,77).
trusts(112,388).
trusts(119,127).
trusts(117,197).
trusts(172,135).
trusts(104,658).
trusts(109,468).
trusts(129,1718).
trusts(116,221).
trusts(175,14).
trusts(116,222).
trusts(1098,1060).
trusts(643,297).
trusts(1097,1096).
trusts(98,927).
trusts(118,191).
trusts(644,307).
trusts(173,128).
trusts(1098,1103).
trusts(170,242).
trusts(122,20).
trusts(1098,1100).
trusts(1098,1099).
trusts(118,170).
trusts(1098,1096).
trusts(104,694).
trusts(1125,93).
trusts(107,584).
trusts(1115,462).
trusts(1103,906).
trusts(125,207).
trusts(1583,272).
trusts(125,208).
trusts(643,364).
trusts(1099,707).
trusts(125,210).
trusts(172,575).
trusts(1113,194).
trusts(648,182).
trusts(639,516).
trusts(183,172).
trusts(118,481).
trusts(1100,686).
trusts(1096,834).
trusts(1583,292).
trusts(130,29).
trusts(181,263).
trusts(109,831).
trusts(85,1718).
trusts(627,982).
trusts(112,717).
trusts(125,243).
trusts(653,30).
trusts(1096,854).
trusts(1100,707).
trusts(647,250).
trusts(177,425).
trusts(188,17).
trusts(169,720).
trusts(1114,195).
trusts(118,514).
trusts(112,739).
trusts(184,180).
trusts(112,737).
trusts(101,1144).
trusts(652,77).
trusts(162,995).
trusts(187,77).
trusts(184,185).
trusts(1087,1088).
trusts(1565,1002).
trusts(650,170).
trusts(130,85).
trusts(125,264).
trusts(1099,649).
trusts(1098,686).
trusts(650,172).
trusts(100,1214).
trusts(183,119).
trusts(1090,992).
trusts(109,883).
trusts(183,117).
trusts(128,169).
trusts(125,280).
trusts(183,127).
trusts(1103,514).
trusts(181,211).
trusts(112,787).
trusts(173,506).
trusts(1107,380).
trusts(130,120).
trusts(129,153).
trusts(647,307).
trusts(120,485).
trusts(132,40).
trusts(186,33).
trusts(132,36).
trusts(653,107).
trusts(1099,686).
trusts(653,100).
trusts(182,194).
trusts(654,72).
trusts(130,123).
trusts(100,1234).
trusts(120,253).
trusts(653,127).
trusts(182,83).
trusts(125,73).
trusts(109,667).
trusts(653,117).
trusts(109,669).
trusts(1097,905).
trusts(100,1003).
trusts(183,36).
trusts(182,74).
trusts(127,7).
trusts(1103,686).
trusts(1099,834).
trusts(1092,1093).
trusts(125,83).
trusts(125,85).
trusts(175,357).
trusts(1103,707).
trusts(652,181).
trusts(79,1791).
trusts(180,173).
trusts(120,275).
trusts(1582,194).
trusts(107,758).
trusts(109,689).
trusts(1090,1186).
trusts(169,575).
trusts(185,6).
trusts(1110,467).
trusts(127,33).
trusts(127,36).
trusts(175,364).
trusts(127,34).
trusts(125,109).
trusts(1546,1545).
trusts(120,297).
trusts(118,375).
trusts(170,575).
trusts(182,122).
trusts(181,159).
trusts(128,14).
trusts(182,120).
trusts(648,355).
trusts(643,541).
trusts(125,128).
trusts(112,609).
trusts(124,173).
trusts(100,1061).
trusts(1097,854).
trusts(178,170).
trusts(124,170).
trusts(125,134).
trusts(102,985).
trusts(172,388).
trusts(180,85).
trusts(180,83).
trusts(125,143).
trusts(1098,834).
trusts(180,109).
trusts(1096,905).
trusts(129,7).
trusts(125,155).
trusts(175,297).
trusts(1096,906).
trusts(85,1634).
trusts(1088,1199).
trusts(112,630).
trusts(173,365).
trusts(125,151).
trusts(655,127).
trusts(125,157).
trusts(180,98).
trusts(641,642).
trusts(1117,117).
trusts(1076,1634).
trusts(125,170).
trusts(183,14).
trusts(1119,72).
trusts(125,169).
trusts(180,126).
trusts(118,425).
trusts(100,1091).
trusts(182,49).
trusts(639,733).
trusts(125,172).
trusts(181,77).
trusts(104,963).
trusts(112,665).
trusts(127,109).
trusts(125,183).
trusts(183,29).
trusts(112,663).
trusts(1115,233).
trusts(128,83).
trusts(1098,854).
trusts(587,499).
trusts(1012,203).
trusts(584,594).
trusts(598,85).
trusts(584,574).
trusts(1016,20).
trusts(1423,127).
trusts(1426,20).
trusts(584,583).
trusts(584,582).
trusts(994,839).
trusts(1425,33).
trusts(574,927).
trusts(1412,520).
trusts(1014,86).
trusts(1426,8).
trusts(1425,46).
trusts(587,434).
trusts(583,584).
trusts(571,1011).
trusts(1011,284).
trusts(1009,364).
trusts(596,93).
trusts(587,428).
trusts(1412,492).
trusts(582,590).
trusts(576,807).
trusts(582,584).
trusts(594,153).
trusts(585,486).
trusts(582,574).
trusts(1015,99).
trusts(582,582).
trusts(1014,148).
trusts(582,579).
trusts(992,957).
trusts(582,575).
trusts(579,927).
trusts(1796,1658).
trusts(1012,77).
trusts(1412,434).
trusts(587,615).
trusts(596,284).
trusts(981,1196).
trusts(597,239).
trusts(1012,54).
trusts(1822,678).
trusts(982,1146).
trusts(573,1110).
trusts(970,1592).
trusts(593,372).
trusts(594,327).
trusts(598,180).
trusts(587,577).
trusts(1412,388).
trusts(594,316).
trusts(1399,863).
trusts(1842,20).
trusts(577,932).
trusts(985,1134).
trusts(985,1135).
trusts(982,1237).
trusts(1012,127).
trusts(988,1009).
trusts(593,326).
trusts(1402,719).
trusts(1014,36).
trusts(1389,1199).
trusts(582,719).
trusts(1416,190).
trusts(1005,355).
trusts(1011,127).
trusts(596,182).
trusts(994,587).
trusts(1412,803).
trusts(571,815).
trusts(593,7).
trusts(591,85).
trusts(1842,68).
trusts(584,350).
trusts(981,1097).
trusts(995,579).
trusts(589,117).
trusts(982,1002).
trusts(571,786).
trusts(1008,51).
trusts(987,838).
trusts(1420,504).
trusts(1386,1704).
trusts(587,162).
trusts(1827,678).
trusts(577,540).
trusts(591,20).
trusts(576,575).
trusts(1845,20).
trusts(981,1140).
trusts(1011,30).
trusts(1412,758).
trusts(1839,254).
trusts(570,810).
trusts(1802,1634).
trusts(1840,221).
trusts(1838,295).
trusts(575,577).
trusts(575,576).
trusts(587,138).
trusts(582,326).
trusts(575,584).
trusts(575,580).
trusts(1412,727).
trusts(1009,86).
trusts(582,327).
trusts(1009,80).
trusts(575,594).
trusts(591,212).
trusts(594,98).
trusts(588,317).
trusts(568,1084).
trusts(551,1700).
trusts(575,811).
trusts(1842,206).
trusts(981,960).
trusts(582,512).
trusts(579,624).
trusts(574,811).
trusts(594,72).
trusts(1842,170).
trusts(1837,355).
trusts(587,318).
trusts(1798,1790).
trusts(595,29).
trusts(1846,38).
trusts(577,716).
trusts(585,372).
trusts(579,594).
trusts(572,851).
trusts(587,297).
trusts(579,593).
trusts(587,292).
trusts(594,29).
trusts(994,525).
trusts(1842,252).
trusts(579,582).
trusts(1000,301).
trusts(580,575).
trusts(1842,267).
trusts(594,7).
trusts(1846,86).
trusts(1396,1199).
trusts(1426,83).
trusts(575,719).
trusts(571,868).
trusts(1420,297).
trusts(575,716).
trusts(1822,20).
trusts(575,398).
trusts(580,212).
trusts(583,98).
trusts(577,321).
trusts(1412,30).
trusts(585,36).
trusts(976,993).
trusts(584,49).
trusts(573,453).
trusts(981,792).
trusts(579,242).
trusts(585,18).
trusts(1814,305).
trusts(566,765).
trusts(1792,1172).
trusts(585,71).
trusts(1409,172).
trusts(1823,20).
trusts(582,177).
trusts(563,857).
trusts(977,970).
trusts(1822,86).
trusts(584,7).
trusts(999,209).
trusts(582,85).
trusts(994,366).
trusts(572,425).
trusts(575,321).
trusts(1407,127).
trusts(568,577).
trusts(1824,40).
trusts(568,624).
trusts(571,516).
trusts(1409,109).
trusts(577,280).
trusts(582,98).
trusts(568,615).
trusts(953,1925).
trusts(989,386).
trusts(995,162).
trusts(585,150).
trusts(1374,1339).
trusts(574,593).
trusts(976,883).
trusts(574,584).
trusts(574,579).
trusts(584,212).
trusts(574,582).
trusts(571,688).
trusts(1825,104).
trusts(577,398).
trusts(981,727).
trusts(982,682).
trusts(1827,8).
trusts(554,1226).
trusts(1405,127).
trusts(575,494).
trusts(1402,224).
trusts(571,625).
trusts(1793,1297).
trusts(1001,15).
trusts(577,49).
trusts(575,122).
trusts(563,568).
trusts(1412,272).
trusts(1398,786).
trusts(992,138).
trusts(571,293).
trusts(573,212).
trusts(569,362).
trusts(1827,87).
trusts(578,39).
trusts(986,370).
trusts(575,153).
trusts(1412,284).
trusts(1829,20).
trusts(577,83).
trusts(1825,177).
trusts(963,1237).
trusts(1826,151).
trusts(1402,678).
trusts(575,170).
trusts(528,1910).
trusts(970,989).
trusts(572,172).
trusts(966,1152).
trusts(576,29).
trusts(995,80).
trusts(568,327).
trusts(1813,664).
trusts(577,2).
trusts(575,79).
trusts(575,85).
trusts(575,86).
trusts(1412,222).
trusts(571,242).
trusts(575,98).
trusts(1415,130).
trusts(957,1533).
trusts(576,83).
trusts(571,266).
trusts(572,370).
trusts(568,520).
trusts(575,254).
trusts(575,280).
trusts(1394,822).
trusts(579,129).
trusts(1384,1187).
trusts(1807,959).
trusts(575,266).
trusts(988,181).
trusts(582,33).
trusts(574,326).
trusts(577,212).
trusts(582,28).
trusts(571,433).
trusts(581,86).
trusts(579,153).
trusts(1380,1251).
trusts(563,632).
trusts(569,411).
trusts(580,7).
trusts(579,65).
trusts(575,212).
trusts(1411,122).
trusts(1412,86).
trusts(1407,290).
trusts(1412,99).
trusts(577,170).
trusts(575,244).
trusts(1412,127).
trusts(579,98).
trusts(577,172).
trusts(1783,1939).
trusts(1410,194).
trusts(1044,107).
trusts(1029,653).
trusts(1029,655).
trusts(1864,87).
trusts(1020,974).
trusts(1041,194).
trusts(1860,226).
trusts(1372,929).
trusts(568,85).
trusts(563,266).
trusts(1379,664).
trusts(568,72).
trusts(564,212).
trusts(569,25).
trusts(1394,93).
trusts(1015,1115).
trusts(567,218).
trusts(1042,120).
trusts(1015,1106).
trusts(561,428).
trusts(1028,623).
trusts(1859,199).
trusts(1028,612).
trusts(1028,615).
trusts(571,40).
trusts(572,1).
trusts(568,150).
trusts(571,33).
trusts(564,292).
trusts(564,290).
trusts(571,18).
trusts(572,93).
trusts(1362,1199).
trusts(563,428).
trusts(571,128).
trusts(563,434).
trusts(1029,532).
trusts(1015,1051).
trusts(1028,571).
trusts(573,36).
trusts(1854,577).
trusts(530,1629).
trusts(1015,1028).
trusts(1042,40).
trusts(1013,1115).
trusts(1012,1123).
trusts(573,20).
trusts(1015,1025).
trusts(573,33).
trusts(1861,314).
trusts(1365,1060).
trusts(540,1251).
trusts(1028,516).
trusts(1015,1009).
trusts(563,388).
trusts(571,90).
trusts(576,8).
trusts(569,267).
trusts(1383,482).
trusts(575,46).
trusts(575,49).
trusts(1028,504).
trusts(1842,983).
trusts(575,29).
trusts(575,33).
trusts(568,292).
trusts(575,38).
trusts(572,128).
trusts(575,20).
trusts(563,463).
trusts(571,172).
trusts(575,2).
trusts(1860,267).
trusts(1028,463).
trusts(1862,196).
trusts(520,1628).
trusts(1871,86).
trusts(530,1269).
trusts(541,863).
trusts(516,1785).
trusts(1400,183).
trusts(1029,396).
trusts(562,39).
trusts(1369,1282).
trusts(555,292).
trusts(1842,1146).
trusts(1399,190).
trusts(1029,369).
trusts(544,710).
trusts(1028,404).
trusts(1015,847).
trusts(563,98).
trusts(1858,492).
trusts(1820,1899).
trusts(1392,520).
trusts(563,93).
trusts(1402,173).
trusts(1029,284).
trusts(516,1794).
trusts(520,1648).
trusts(1015,805).
trusts(1855,575).
trusts(1028,328).
trusts(1836,1300).
trusts(1017,754).
trusts(1369,1367).
trusts(563,72).
trusts(1869,72).
trusts(564,40).
trusts(549,673).
trusts(1876,20).
trusts(1393,297).
trusts(563,170).
trusts(1035,49).
trusts(1033,121).
trusts(1842,1300).
trusts(563,125).
trusts(1009,960).
trusts(1395,194).
trusts(1009,988).
trusts(1827,1828).
trusts(568,29).
trusts(563,214).
trusts(1362,1501).
trusts(555,516).
trusts(1029,194).
trusts(1028,235).
trusts(1029,201).
trusts(568,42).
trusts(1402,33).
trusts(1875,20).
trusts(1865,334).
trusts(1015,684).
trusts(1872,86).
trusts(1362,1495).
trusts(1015,705).
trusts(1871,134).
trusts(1399,127).
trusts(1029,109).
trusts(1016,590).
trusts(555,32).
trusts(983,1842).
trusts(1028,182).
trusts(1333,1882).
trusts(552,173).
trusts(530,991).
trusts(541,643).
trusts(1009,792).
trusts(547,412).
trusts(1844,220).
trusts(1348,1349).
trusts(557,22).
trusts(1374,442).
trusts(1028,109).
trusts(1804,1734).
trusts(556,98).
trusts(1803,1764).
trusts(549,349).
trusts(1850,20).
trusts(1372,284).
trusts(1855,20).
trusts(988,1485).
trusts(1009,713).
trusts(1029,14).
trusts(1839,640).
trusts(555,212).
trusts(560,36).
trusts(1855,29).
trusts(552,307).
trusts(1855,36).
trusts(1006,857).
trusts(1378,127).
trusts(1018,330).
trusts(1369,456).
trusts(1853,20).
trusts(1015,446).
trusts(1022,165).
trusts(1369,444).
trusts(1023,127).
trusts(559,78).
trusts(1369,441).
trusts(1357,884).
trusts(1369,442).
trusts(1376,233).
trusts(1012,577).
trusts(1015,467).
trusts(1854,29).
trusts(988,1479).
trusts(546,587).
trusts(552,366).
trusts(1854,2).
trusts(995,1106).
trusts(1014,422).
trusts(524,938).
trusts(1351,1449).
trusts(998,1023).
trusts(994,1176).
trusts(982,1620).
trusts(550,22).
trusts(1372,712).
trusts(549,72).
trusts(516,1296).
trusts(541,364).
trusts(527,882).
trusts(1012,411).
trusts(1855,86).
trusts(1015,313).
trusts(1018,195).
trusts(1001,853).
trusts(1369,865).
trusts(548,135).
trusts(1842,575).
trusts(1017,278).
trusts(1369,873).
trusts(1023,42).
trusts(1842,590).
trusts(1015,226).
trusts(520,1198).
trusts(525,1016).
trusts(1016,196).
trusts(1351,1302).
trusts(1011,385).
trusts(552,24).
trusts(992,1090).
trusts(1354,1199).
trusts(1862,20).
trusts(1001,783).
trusts(1854,326).
trusts(1002,757).
trusts(1852,410).
trusts(551,100).
trusts(549,173).
trusts(995,1015).
trusts(1015,284).
trusts(1352,1320).
trusts(1358,1100).
trusts(549,194).
trusts(525,1090).
trusts(1376,450).
trusts(1855,196).
trusts(525,1085).
trusts(1842,678).
trusts(1015,172).
trusts(514,1504).
trusts(1851,352).
trusts(1351,1378).
trusts(1015,181).
trusts(1019,42).
trusts(997,858).
trusts(1375,499).
trusts(516,1456).
trusts(1015,206).
trusts(1012,328).
trusts(1855,237).
trusts(554,60).
trusts(502,1711).
trusts(545,121).
trusts(541,265).
trusts(535,488).
trusts(929,1091).
trusts(957,4).
trusts(939,677).
trusts(1879,582).
trusts(528,716).
trusts(1855,1471).
trusts(1478,15).
trusts(543,181).
trusts(528,689).
trusts(1882,577).
trusts(951,334).
trusts(1882,575).
trusts(918,1553).
trusts(929,1141).
trusts(939,769).
trusts(955,202).
trusts(533,521).
trusts(545,72).
trusts(1448,1093).
trusts(1471,239).
trusts(957,119).
trusts(1892,191).
trusts(543,117).
trusts(1882,372).
trusts(959,98).
trusts(1438,1639).
trusts(959,101).
trusts(959,102).
trusts(929,1214).
trusts(1889,129).
trusts(1471,441).
trusts(507,1361).
trusts(1889,85).
trusts(529,550).
trusts(507,1369).
trusts(929,1187).
trusts(957,162).
trusts(528,610).
trusts(507,1339).
trusts(1478,99).
trusts(1889,186).
trusts(507,1346).
trusts(963,28).
trusts(1882,453).
trusts(963,25).
trusts(537,234).
trusts(528,577).
trusts(1879,574).
trusts(528,575).
trusts(1457,838).
trusts(1460,727).
trusts(507,1302).
trusts(526,614).
trusts(929,1251).
trusts(520,831).
trusts(534,325).
trusts(1878,927).
trusts(533,328).
trusts(525,614).
trusts(926,944).
trusts(528,494).
trusts(507,1276).
trusts(507,1262).
trusts(533,307).
trusts(1480,183).
trusts(528,453).
trusts(1469,582).
trusts(507,1237).
trusts(953,20).
trusts(538,72).
trusts(1899,212).
trusts(953,8).
trusts(537,98).
trusts(507,1209).
trusts(947,222).
trusts(527,463).
trusts(490,1819).
trusts(1857,1733).
trusts(1455,1041).
trusts(1444,1443).
trusts(930,932).
trusts(947,271).
trusts(492,1687).
trusts(932,807).
trusts(1896,87).
trusts(940,516).
trusts(1899,83).
trusts(929,1029).
trusts(950,251).
trusts(954,102).
trusts(939,667).
trusts(514,839).
trusts(1899,86).
trusts(516,742).
trusts(505,1152).
trusts(943,481).
trusts(516,723).
trusts(528,280).
trusts(931,930).
trusts(1894,243).
trusts(522,509).
trusts(520,563).
trusts(525,373).
trusts(951,164).
trusts(521,533).
trusts(520,568).
trusts(528,212).
trusts(528,209).
trusts(1454,370).
trusts(533,38).
trusts(1445,727).
trusts(1878,129).
trusts(939,181).
trusts(512,811).
trusts(533,33).
trusts(1879,85).
trusts(528,213).
trusts(941,127).
trusts(531,122).
trusts(524,382).
trusts(528,235).
trusts(527,272).
trusts(899,1672).
trusts(1879,129).
trusts(528,254).
trusts(1881,49).
trusts(528,252).
trusts(1882,8).
trusts(1878,153).
trusts(525,254).
trusts(1882,33).
trusts(526,210).
trusts(1882,20).
trusts(528,139).
trusts(1882,49).
trusts(930,577).
trusts(930,575).
trusts(1881,79).
trusts(528,177).
trusts(522,388).
trusts(530,117).
trusts(929,653).
trusts(929,655).
trusts(516,639).
trusts(916,1122).
trusts(1828,1827).
trusts(516,525).
trusts(916,1159).
trusts(916,1158).
trusts(528,86).
trusts(932,575).
trusts(932,577).
trusts(947,22).
trusts(1430,1429).
trusts(514,633).
trusts(932,594).
trusts(526,206).
trusts(945,121).
trusts(938,382).
trusts(528,7).
trusts(496,1199).
trusts(528,20).
trusts(1460,222).
trusts(946,107).
trusts(924,925).
trusts(522,253).
trusts(1445,792).
trusts(929,754).
trusts(929,755).
trusts(528,42).
trusts(528,51).
trusts(526,127).
trusts(1877,127).
trusts(947,109).
trusts(1443,891).
trusts(527,98).
trusts(925,924).
trusts(1878,98).
trusts(1874,243).
trusts(1882,242).
trusts(522,191).
trusts(524,120).
trusts(1882,235).
trusts(929,293).
trusts(525,69).
trusts(525,68).
trusts(929,291).
trusts(526,33).
trusts(517,366).
trusts(1882,224).
trusts(1446,929).
trusts(1465,226).
trusts(932,172).
trusts(934,98).
trusts(1464,258).
trusts(525,54).
trusts(1882,212).
trusts(523,186).
trusts(929,330).
trusts(1882,267).
trusts(507,773).
trusts(1882,263).
trusts(512,579).
trusts(527,25).
trusts(937,20).
trusts(527,20).
trusts(527,21).
trusts(1885,143).
trusts(525,90).
trusts(1887,63).
trusts(1882,248).
trusts(1471,28).
trusts(1874,594).
trusts(935,127).
trusts(1466,127).
trusts(1842,1768).
trusts(936,136).
trusts(1432,1433).
trusts(934,212).
trusts(494,1186).
trusts(1884,254).
trusts(509,633).
trusts(1890,20).
trusts(525,29).
trusts(1458,458).
trusts(516,280).
trusts(491,1199).
trusts(1425,1855).
trusts(1883,71).
trusts(509,522).
trusts(522,36).
trusts(1473,51).
trusts(1882,85).
trusts(1882,83).
trusts(1882,98).
trusts(522,49).
trusts(1879,203).
trusts(938,120).
trusts(483,1530).
trusts(933,302).
trusts(522,86).
